code,name
05.10.15,Добыча коксующегося угля подземным способом
86.21,Общая врачебная практика
05.10.16,Добыча угля; за исключением антрацита; угля коксующегося и угля бурого; подземным способом
05.10.13,Добыча угля; за исключением антрацита; угля коксующегося и угля бурого; открытым способом
05.10.14,Добыча антрацита подземным способом
05.10.11,Добыча антрацита открытым способом
05.10.12,Добыча коксующегося угля открытым способом
74.30,Деятельность по письменному и устному переводу
05.10,Добыча и обогащение угля и антрацита
45.1,Торговля автотранспортными средствами
45.2,Техническое обслуживание и ремонт автотранспортных средств
45.3,Торговля автомобильными деталями; узлами и принадлежностями
86.22,Специальная врачебная практика
86.23,Стоматологическая практика
46.61.2,Торговля оптовая садово-огородной техникой и инвентарем
86.10,Деятельность больничных организаций
46.61.1,Торговля оптовая сельскохозяйственными и лесохозяйственными машинами; оборудованием и инструментами; включая тракторы
64.92.3,Деятельность по предоставлению денежных ссуд под залог недвижимого имущества
64.92.2,Деятельность по предоставлению займов промышленности
46.72.23,Торговля оптовая золотом и другими драгоценными металлами
64.92.1,Деятельность по предоставлению потребительского кредита
17.11,Производство целлюлозы и древесной массы
17.12,Производство бумаги и картона
13.20.46,Производство тканей из стекловолокна
46.72.22,Торговля оптовая цветными металлами в первичных формах; кроме драгоценных
46.72.21,Торговля оптовая черными металлами в первичных формах
10.6,Производство продуктов мукомольной и крупяной промышленности; крахмала и крахмалосодержащих продуктов
22.19.1,Производство регенерированной резины в первичной форме или в виде пластин; листов или полос (лент)
10.82.2,Производство шоколада и сахаристых кондитерских изделий
10.5,Производство молочной продукции
22.19.3,Производство труб; трубок; рукавов и шлангов из вулканизированной резины
10.4,Производство растительных и животных масел и жиров
10.3,Переработка и консервирование фруктов и овощей
22.19.2,Производство резиновых смесей и изделий из них; производство вулканизированной резины в виде нити; корда; пластин; листов; полос; прутков и профилей
10.2,Переработка и консервирование рыбы; ракообразных и моллюсков
10.1,Переработка и консервирование мяса и мясной пищевой продукции
22.19.4,Производство конвейерных лент и приводных ремней; бельтинга из вулканизированной резины
22.19.7,Производство изделий из вулканизированной резины; не включенных в другие группировки
22.19.6,Производство предметов одежды и ее аксессуаров из вулканизированной резины
64.92.7,Деятельность микрофинансовая
10.9,Производство готовых кормов для животных
10.8,Производство прочих пищевых продуктов
47.81.1,Торговля розничная в нестационарных торговых объектах напитками и табачной продукцией
72.19.4,Научные исследования и разработки в области защиты информации
13.20.13,Производство льняных тканей
46.72.11,Торговля оптовая железными рудами
72.19.9,Научные исследования и разработки в области естественных и технических наук прочие; не включенные в другие группировки
49.50,Деятельность трубопроводного транспорта
08.99.2,Добыча абразивных материалов; асбеста; кремнеземистой каменной муки; природных графитов; мыльного камня (талька); полевого шпата и т. д.
03.12.2,Рыболовство пресноводное в целях аквакультуры (рыбоводства)
45.32.2,Торговля розничная автомобильными деталями; узлами и принадлежностями прочая
49.42,Предоставление услуг по перевозкам
32.5,Производство медицинских инструментов и оборудования
49.41,Деятельность автомобильного грузового транспорта
25.99,Производство прочих готовых металлических изделий; не включенных в другие группировки
32.3,Производство спортивных товаров
10.41.24,Производство нерафинированного подсолнечного масла и его фракций
25.91,Производство металлических бочек и аналогичных емкостей
45.32.1,Торговля розничная автомобильными деталями; узлами и принадлежностями в специализированных магазинах
25.93,Производство изделий из проволоки; цепей и пружин
25.92,Производство тары из легких металлов
32.9,Производство изделий; не включенных в другие группировки
03.12.1,Рыболовство пресноводное промышленное
25.94,Производство крепежных изделий
50.40.1,Перевозка грузов по внутренним водным путям
46.52.1,Торговля оптовая телекоммуникационным оборудованием и его запасными частями
46.52.2,Торговля оптовая электронным оборудованием и его запасными частями
49.31,Деятельность сухопутного пассажирского транспорта: перевозки пассажиров в городском и пригородном сообщении
10.73.1,Производство макаронных изделий
49.39,Деятельность прочего сухопутного пассажирского транспорта; не включенная в другие группировки
25.62,Обработка металлических изделий механическая
25.61,Обработка металлов и нанесение покрытий на металлы
49.32,Деятельность легкового такси и арендованных легковых автомобилей с водителем
13.95,Производство нетканых текстильных материалов и изделий из них; кроме одежды
13.96,Производство прочих технических и промышленных текстильных изделий
13.99,Производство прочих текстильных изделий; не включенных в другие группировки
28.30.8,Производство прочих машин и оборудования для сельского и лесного хозяйства
28.30.5,Производство машин для уборки урожая
28.30.3,Производство машин и сельскохозяйственного оборудования для обработки почвы
13.94,Производство канатов; веревок; шпагата и сетей
28.30.2,Производство тракторов для сельского хозяйства
13.91,Производство трикотажного и вязаного полотна
13.92,Производство готовых текстильных изделий; кроме одежды
49.20,Деятельность железнодорожного транспорта: грузовые перевозки
47.29.34,Торговля розничная солью в специализированных магазинах
47.30.12,Торговля розничная газом для заправки автомобилей в специализированных магазинах
47.30.11,Торговля розничная бензином и дизельным топливом в специализированных магазинах
47.29.36,Торговля розничная гомогенизированными пищевыми продуктами; детским и диетическим питанием в специализированных магазинах
47.29.35,Торговля розничная чаем; кофе; какао в специализированных магазинах
47.29.31,Торговля розничная мукой и макаронными изделиями в специализированных магазинах
25.71,Производство ножевых изделий и столовых приборов
25.73,Производство инструмента
25.72,Производство замков и петель
26.30.17,Производство радио- и телевизионной передающей аппаратуры
26.30.16,Производство оборудования средств связи; в том числе программное обеспечение; обеспечивающее выполнение установленных действий при проведении оперативно-розыскных мероприятий
47.59.9,Торговля розничная бытовыми изделиями и приборами; не включенными в другие группировки; в специализированных магазинах
